Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,,patttern2,MAKIHI00485
1200,reference,1,1,0,0,1.618225,,,
800,reference,0,1,0,0,1.838745,,,
700,comparison,0,1,0,1,1.799225,,,
1100,reference,1,1,0,2,0.5903015,,,
1000,comparison,1,0,0,2,2.120758,,,
800,comparison,0,1,1,2,0.7215271,,,
1100,reference,1,0,1,2,0.79953,,,
900,comparison,0,0,2,2,1.699219,,,
1000,reference,1,0,2,2,1.055054,,,
1000,comparison,0,1,2,2,0.9661865,,,
1100,reference,0,0,2,2,0.8661499,,,
900,reference,1,1,2,3,2.010193,,,
800,comparison,1,1,2,3,0.4208984,,,
1000,comparison,0,1,3,3,0.6744995,,,
900,comparison,1,1,3,4,0.4429321,,,
1100,reference,0,1,3,4,0.3331299,,,
1000,reference,1,0,3,5,0.3109131,,,
900,comparison,1,0,4,5,1.93512,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern1,MAMATO10553,
1600,reference,1,1,0,0,0.8774643,,,
400,comparison,0,0,0,0,1.610394,,,
1500,reference,1,0,0,0,0.4331818,,,
500,comparison,0,1,0,0,0.7884216,,,
1400,reference,1,1,0,0,0.4330139,,,
600,comparison,0,1,0,0,0.6885376,,,
1300,reference,1,0,0,0,0.4996033,,,
700,comparison,0,1,0,0,0.3437195,,,
800,comparison,0,0,0,0,0.4332733,,,
1200,reference,1,1,0,0,0.8884583,,,
1100,comparison,1,0,0,0,0.2441406,,,
900,comparison,0,0,1,0,0.4331055,,,
1200,reference,1,0,1,0,0.2889099,,,
1000,reference,0,1,2,0,0.266449,,,
900,reference,0,1,2,1,0.8776245,,,
1100,comparison,1,1,2,1,0.3223267,,,
1200,reference,1,0,3,1,0.2554932,,,
800,comparison,0,0,4,1,0.4886475,,,
900,comparison,0,1,4,2,0.3554077,,,
1100,reference,1,0,4,2,0.3366089,,,
1000,reference,0,1,4,2,0.2329712,,,
1000,comparison,1,0,4,3,0.2997437,,,
900,comparison,0,1,5,3,0.2996826,,,
1000,reference,0,1,5,4,0.6218872,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern1,HIKAMI01234,
1600,reference,1,1,0,0,0.7994194,,,
400,comparison,0,0,0,0,0.5220642,,,
1500,reference,1,0,0,0,0.3997498,,,
500,comparison,0,1,0,0,0.5218353,,,
1400,reference,1,0,0,0,3.876091,,,
600,comparison,0,0,0,0,0.6440277,,,
700,comparison,0,0,0,0,0.7774048,,,
1300,reference,1,0,0,0,0.2553101,,,
800,comparison,0,0,0,0,0.3219452,,,
1200,reference,1,1,0,0,1.221542,,,
900,comparison,0,0,0,0,0.4889069,,,
1100,reference,1,0,0,0,0.3440704,,,
1000,comparison,1,0,0,0,2.009918,,,
1000,reference,0,0,1,0,1.155762,,,
900,comparison,0,0,1,1,0.3216858,,,
1100,reference,1,1,1,2,0.4224243,,,
1000,comparison,1,1,2,2,3.729614,,,
1000,comparison,0,0,3,2,1.13269,,,
1100,reference,0,1,3,2,0.3992004,,,
1100,reference,1,1,3,3,1.299561,,,
1000,reference,1,0,4,3,1.621124,,,
1000,comparison,0,0,4,3,0.699585,,,
1100,comparison,0,1,4,4,0.7995605,,,
900,comparison,1,0,4,4,0.3330078,,,
1200,reference,0,0,5,4,0.2553711,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern2,HIKAMI01234,
1600,reference,1,1,0,0,0.310688,,,
400,comparison,0,0,0,0,0.3996658,,,
1500,reference,1,1,0,0,0.2663841,,,
500,comparison,0,0,0,0,0.2553291,,,
1400,reference,1,1,0,0,1.2883,,,
600,comparison,0,1,0,0,0.7439423,,,
1300,reference,1,1,0,0,1.232689,,,
700,comparison,0,1,0,0,0.355278,,,
1200,reference,1,1,0,0,0.4437103,,,
800,comparison,0,0,0,0,0.3108826,,,
1100,reference,1,1,0,0,0.588623,,,
1000,reference,1,0,0,0,1.499374,,,
900,comparison,0,1,0,0,0.5886536,,,
1000,reference,0,0,0,0,0.8329315,,,
900,comparison,1,1,0,1,0.2996674,,,
900,reference,0,1,1,1,1.288208,,,
1000,comparison,1,1,1,1,2.676544,,,
1100,reference,1,0,1,1,0.699707,,,
800,comparison,0,1,2,1,0.5329285,,,
900,comparison,0,0,2,2,0.3774109,,,
1000,reference,1,0,2,2,0.5323792,,,
900,comparison,1,1,2,2,0.7218323,,,
1000,reference,0,0,3,2,0.7331238,,,
1000,reference,1,1,3,3,1.343842,,,
900,comparison,0,1,4,3,0.2331543,,,
900,reference,1,0,4,4,0.7106323,,,
1000,comparison,0,0,4,4,0.4663696,,,
800,comparison,1,0,4,4,0.3778381,,,
1100,reference,0,1,5,4,0.5001526,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern2,藤原君,
400,comparison,0,0,0,0,1.255093,,,
1600,reference,1,1,0,0,1.454685,,,
500,comparison,0,0,0,0,1.243454,,,
1500,reference,1,0,0,0,1.654724,,,
600,comparison,0,0,0,0,1.865784,,,
1400,reference,1,0,0,0,1.155106,,,
700,comparison,0,1,0,0,0.7218323,,,
1300,reference,1,1,0,0,0.7308044,,,
1200,reference,1,0,0,0,0.8439484,,,
800,comparison,0,0,0,0,0.7878876,,,
1100,reference,1,1,0,0,1.043762,,,
900,comparison,0,1,0,0,0.3220825,,,
1000,reference,0,1,0,0,0.5551453,,,
1000,comparison,1,1,0,1,0.3436127,,,
1100,reference,1,1,1,1,0.4886017,,,
900,reference,0,1,2,1,0.488739,,,
800,comparison,0,0,2,1,0.3331757,,,
1000,reference,1,0,2,2,0.8214111,,,
900,comparison,1,1,2,2,0.3218231,,,
900,reference,0,1,3,2,1.288269,,,
1000,reference,1,1,3,3,0.9439087,,,
800,comparison,0,0,4,3,0.3886719,,,
900,comparison,1,0,4,4,0.2889099,,,
900,comparison,0,0,5,4,0.6552124,,,
1000,comparison,0,0,5,4,3.79834,,,
1100,comparison,0,1,5,4,0.699646,,,
1200,reference,0,1,5,4,0.6104736,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,pattern1,藤原君,
400,comparison,0,0,0,0,0.3332033,,,
1600,reference,1,1,0,0,3.576332,,,
500,reference,0,1,0,0,2.143147,,,
1500,reference,1,1,0,1,0.3889275,,,
400,comparison,0,1,0,1,1.976749,,,
1400,reference,1,0,0,2,0.6328926,,,
500,comparison,0,1,0,2,0.9551544,,,
1300,reference,1,0,0,2,0.3997154,,,
1200,reference,1,1,0,2,0.3553619,,,
600,comparison,0,0,0,2,0.500206,,,
700,comparison,0,1,0,2,0.2663345,,,
1100,comparison,1,1,0,2,0.3550568,,,
800,comparison,0,1,1,2,0.3996201,,,
1200,reference,1,1,1,2,0.9439545,,,
900,comparison,0,1,2,2,0.5885086,,,
1100,reference,1,1,2,2,0.3552094,,,
1000,comparison,0,1,2,2,0.3104401,,,
